id;codigo;nome;saldo;descricao;tipo_conta_contabil;categoria_conta_contabil;ativa;moeda_carteira_id
1;but round;pish unlawful;9670.47;how atop;DESPESA;FINANCEIRA;false;1
2;whereas retrospectiv;wiggly elegant deployment;817.74;cautious gasp;ATIVO;ADMINISTRATIVA;true;2
3;concerning;overcook pacemaker normal;12367.23;geez before;RECEITA;FINANCEIRA;false;3
4;inquisitively french;brr why;4484.15;modulo aggravating;PASSIVO;OPERACIONAL;true;4
5;embody from;scope wasabi;8890.32;breakable forsaken furthermore;RECEITA;OPERACIONAL;true;5
6;potable;sequester;3637.74;ripe;PASSIVO;OPERACIONAL;false;6
7;near once raw;lavish notwithstanding nor;19339.22;unlike;RECEITA;FINANCEIRA;false;7
8;consequently which t;viciously nervously forgather;11354.67;spirit ugh;DESPESA;FINANCEIRA;false;8
9;ah mortise patiently;why whoever;968.22;quart;PASSIVO;OPERACIONAL;false;9
10;mmm;rigidly woot;16912.04;because educated stay;RECEITA;OPERACIONAL;false;10
